Component ID,Component Name,Category,Surface(s),Screenshot References,Current Appearance,Design Tokens Used
DOC-TYP-013,Overview key capabilities list,Typography,Documentation,01_documentation/index.png,Bullet list with italicized category labels and regular details,--spacing-xs; body-1; --color-text-secondary
DOC-INT-007,Table of contents collapse toggles,Interactive,Documentation,01_documentation/index.png,Expandable headings in left nav with clickable caret and bold label,--color-primary; --spacing-sm
DOC-LYT-011,Documentation hero summary paragraph,Typography,Documentation,01_documentation/index.png,Intro paragraph with medium gray copy under the hero heading,--color-text-secondary; body-1; --spacing-sm
DOC-LYT-012,Visual navigation icon chip,Interactive,Documentation,01_documentation/index.png,Rounded icon container with gradient background and emoji icon,--color-primary; --spacing-sm; --shadow-sm
DOC-TYP-014,Quick start duration label,Typography,Documentation,01_documentation/index.png,Italicized durations under each task label,--color-text-muted; body-2; --spacing-xs
DOC-LYT-013,Quick start code block footer,Layout,Documentation | Code Examples,01_documentation/index.png,Code footer with dark background and subtle progress bar,--color-primary-hover; code-font; --spacing-sm
DOC-NAV-006,Footer previous/next pager,Navigation,Documentation,01_documentation/benchmarks/index.png,Horizontal pager with labeled previous and next links,--color-primary; --spacing-md; --spacing-lg
DOC-RES-001,Mobile header stack,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Stacked title and code-block controls within 320px viewport,--spacing-sm; heading-3; --color-primary
DOC-RES-002,Mobile visual navigation grid,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Visual navigation cards collapsing to single column full width,--spacing-md; --color-bg-secondary; --color-primary
DOC-RES-003,Mobile quick start blocks,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Stacked quick start accordions with compressed headers,--spacing-sm; --color-primary; --color-border
DOC-RES-004,Tablet two-column layout,Responsive,Documentation,05_test_results/baseline/test_6_1_tablet_768px.png,Sidebar collapses and anchors move under content at 768px,--spacing-lg; --color-bg-primary
DOC-RES-005,Desktop anchor rail,Responsive,Documentation,01_documentation/index.png,Right aligned anchor column visible above 1024px breakpoint,--spacing-md; --color-border; --color-text-secondary
DOC-RES-006,Responsive code block controls,Responsive,Documentation | Code Examples,05_test_results/baseline/test_1_3_all_collapsed.png,Code copy and collapse controls reposition based on viewport width,--spacing-xs; --color-text-secondary
DOC-RES-007,Mobile page footer metadata,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Footer text wraps to multiple lines with tight spacing,--spacing-xs; caption; --color-text-muted
DOC-INT-008,Code block expand animation,Interactive,Documentation | Test Results,05_test_results/baseline/test_1_3_all_collapsed.png; 05_test_results/baseline/test_1_3_all_expanded.png,Animated height transition with opacity fade when toggling code sections,animation-default; --color-primary; --color-bg-secondary
DOC-LYT-014,Analysis summary blocks,Layout,Documentation,01_documentation/mcp-debugging/index.png,"Stacked sections with heading, bullet list, and code sample",--spacing-md; body-1; --color-text-primary
DOC-TYP-015,Comparison table in MCP guide,Typography,Documentation,01_documentation/mcp-debugging/index.png,Three-column feature comparison with colored headers,--color-primary; --spacing-sm; body-2
DOC-INT-009,Enumerated instruction blocks,Interactive,Documentation,01_documentation/guides/interactive/jupyter-notebooks-demo.png,Numbered steps with bold numerals and embedded code,--spacing-sm; heading-3; body-1
DOC-TYP-016,Inline emphasis callouts,Typography,Documentation,01_documentation/guides/interactive/jupyter-notebooks-demo.png,Red italicized inline spans used for warnings,--color-error; body-2
DOC-TYP-017,Quick reference card headings,Typography,Documentation,01_documentation/guides/QUICK_REFERENCE.png,Small uppercase headings with underline accent bars,--color-primary; body-2; --spacing-xs
DOC-LYT-015,Quick reference card body,Layout,Documentation,01_documentation/guides/QUICK_REFERENCE.png,Two-column bullet layout with tight leading and small icons,--spacing-sm; --color-text-secondary; body-2
DOC-TYP-018,Documentation style guide example code,Typography,Documentation | Code Examples,01_documentation/DOCUMENTATION_STYLE_GUIDE.png,Embedded code samples demonstrating tone with dark theme formatting,code-font; --color-bg-secondary; --spacing-sm
DOC-RES-008,Desktop nav hover state,Responsive,Documentation,01_documentation/index.png,Left nav links change background on hover while maintaining layout,--color-primary-light; --spacing-sm
DOC-RES-009,Mobile sidebar toggle button,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Hamburger icon in top bar controlling drawer navigation,--color-text-primary; --spacing-sm
DOC-RES-010,Tablet search placement,Responsive,Documentation,05_test_results/baseline/test_6_1_tablet_768px.png,Search field moves into collapsible header at tablet breakpoint,--spacing-md; --color-border; --color-bg-secondary
