filename,category,controller,task,path,status,notes
mt8_repro_seed42_adaptive_smc.json,Robustness,Adaptive,MT-8,experiments/adaptive_smc/optimization/active/,Complete,MT-8 robust gains
mt8_repro_seed42_hybrid_adaptive_sta_smc.json,Robustness,Hybrid,MT-8,experiments/hybrid_adaptive_sta/optimization/active/,Complete,MT-8 robust gains
pso_sta_smc_robust.json,Robustness,STA,Phase2,experiments/sta_smc/optimization/phases/phase2/gains/robust/,Complete,Phase 2 robust gains
pso_adaptive_smc_robust.json,Robustness,Adaptive,Phase2,experiments/adaptive_smc/optimization/phases/phase2/gains/robust/,Complete,Phase 2 robust gains
pso_hybrid_adaptive_sta_smc_robust.json,Robustness,Hybrid,Phase2,experiments/hybrid_adaptive_sta/optimization/phases/phase2/gains/robust/,Complete,Phase 2 robust gains
adaptive_smc_robust_gains.json,Robustness,Adaptive,Archive,experiments/adaptive_smc/optimization/archive/,Complete,Archived robust gains
hybrid_adaptive_sta_smc_robust_gains.json,Robustness,Hybrid,Archive,experiments/hybrid_adaptive_sta/optimization/archive/,Complete,Archived robust gains
2025-12-09_classical_smc_robust.log,Robustness,Classical,Logs,academic/logs/pso/,Complete,Robust PSO execution log
2025-12-09_sta_smc_robust.log,Robustness,STA,Logs,academic/logs/pso/,Complete,Robust PSO execution log
2025-12-09_adaptive_smc_robust.log,Robustness,Adaptive,Logs,academic/logs/pso/,Complete,Robust PSO execution log
2025-12-09_hybrid_adaptive_sta_smc_robust.log,Robustness,Hybrid,Logs,academic/logs/pso/,Complete,Robust PSO execution log
config.yaml,Robustness,Multi,Config,./,Complete,Lines 30-37 (MT-8) 230-244 (robustness)
robust_pso_optimizer.py,Robustness,Multi,Source,src/optimization/algorithms/,Complete,Robust PSO implementation
robust_cost_evaluator.py,Robustness,Multi,Source,src/optimization/core/,Complete,Robust fitness evaluation
robustness.py,Robustness,Multi,Source,src/optimization/objectives/control/,Complete,Robustness objectives
energy.py,Efficiency,Multi,Source,src/optimization/objectives/control/,Complete,Energy objectives (infrastructure)
config.yaml,Efficiency,Multi,Config,./,Complete,Lines 367-396 (energy weights)
classical_smc_energy_optimized.json,Efficiency,Classical,Planned,N/A,Missing,NOT YET RUN (Phase 1.1)
sta_smc_energy_optimized.json,Efficiency,STA,Planned,N/A,Missing,NOT YET RUN (Phase 1.1)
adaptive_smc_energy_optimized.json,Efficiency,Adaptive,Planned,N/A,Missing,NOT YET RUN (Phase 1.1)
hybrid_energy_optimized.json,Efficiency,Hybrid,Planned,N/A,Missing,NOT YET RUN (Phase 1.1)
multi_objective_pso.py,Multi-Objective,Multi,Source,src/optimization/algorithms/,Complete,MOPSO infrastructure
pso_factory_bridge.py,Multi-Objective,Multi,Source,src/optimization/integration/,Complete,PSO factory integration
config.yaml,Multi-Objective,Multi,Config,./,Complete,Lines 367-392 (MO weights)
README_DUAL_CATEGORY.txt,Multi-Objective,Multi,MT-8,5_multi_objective/mt8_implicit/,Complete,MT-8 implicit MO explanation
classical_smc_pareto_front.json,Multi-Objective,Classical,Planned,N/A,Missing,NOT YET RUN (Phase 1.3)
sta_smc_pareto_front.json,Multi-Objective,STA,Planned,N/A,Missing,NOT YET RUN (Phase 1.3)
adaptive_smc_pareto_front.json,Multi-Objective,Adaptive,Planned,N/A,Missing,NOT YET RUN (Phase 1.3)
hybrid_pareto_front.json,Multi-Objective,Hybrid,Planned,N/A,Missing,NOT YET RUN (Phase 1.3)
